"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Number!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Percent Distribution!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Women with births in the past 12 months !!Rate per 1,000 women!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent of women who had a birth in the past 12 months who were unmarried!!Margin of Error"
"Women 15 to 50 years","480","±114","29","±30","(X)","(X)","60","±67","55.2%","±55.2","1,361","±227","31","±32","(X)","(X)","23","±25","71.0%","±43.7"
"15 to 19 years","42","±37","0","±13","0.0%","±59.2","0","±492","-","**","40","±47","0","±13","0.0%","±57.2","0","±504","-","**"
"20 to 34 years","180","±70","29","±30","100.0%","±59.2","161","±169","55.2%","±55.2","869","±177","22","±27","71.0%","±43.7","25","±34","100.0%","±67.9"
"35 to 50 years","258","±100","0","±13","0.0%","±59.2","0","±135","-","**","452","±139","9","±16","29.0%","±43.7","20","±36","0.0%","±100.0"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","480","±114","29","±30","100.0%","±59.2","60","±67","55.2%","±55.2","1,351","±227","31","±32","100.0%","±57.2","23","±25","71.0%","±43.7"
"        White","39","±44","0","±13","0.0%","±59.2","0","±510","-","**","621","±198","9","±16","29.0%","±43.7","14","±26","0.0%","±100.0"
"        Black or African American","412","±118","16","±24","55.2%","±55.2","39","±60","100.0%","±79.6","561","±182","22","±27","71.0%","±43.7","39","±49","100.0%","±67.9"
"        American Indian and Alaska Native","0","±13","0","±13","0.0%","±59.2","-","**","-","**","0","±13","0","±13","0.0%","±57.2","-","**","-","**"
"        Asian","29","±28","13","±19","44.8%","±55.2","448","±468","0.0%","±88.4","163","±102","0","±13","0.0%","±57.2","0","±204","-","**"
"        Native Hawaiian and Other Pacific Islander","0","±13","0","±13","0.0%","±59.2","-","**","-","**","0","±13","0","±13","0.0%","±57.2","-","**","-","**"
"        Some other race","0","±13","0","±13","0.0%","±59.2","-","**","-","**","6","±11","0","±13","0.0%","±57.2","0","±1,000","-","**"
"    Two or more races","0","±13","0","±13","0.0%","±59.2","-","**","-","**","10","±17","0","±13","0.0%","±57.2","0","±1,000","-","**"
"Hispanic or Latino origin (of any race)","0","±13","0","±13","0.0%","±59.2","-","**","-","**","50","±42","0","±13","0.0%","±57.2","0","±451","-","**"
"White alone, not Hispanic or Latino","39","±44","0","±13","0.0%","±59.2","0","±510","-","**","591","±198","9","±16","29.0%","±43.7","15","±27","0.0%","±100.0"
"NATIVITY","","","","","","","","","","","","","","","","","","","",""
"    Native","451","±121","16","±24","55.2%","±55.2","35","±56","100.0%","±79.6","1,163","±223","31","±32","100.0%","±57.2","27","±30","71.0%","±43.7"
"    Foreign born","29","±28","13","±19","44.8%","±55.2","448","±468","0.0%","±88.4","198","±111","0","±13","0.0%","±57.2","0","±172","-","**"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","109","±54","0","±13","0.0%","±59.2","0","±284","-","**","109","±100","16","±24","51.6%","±47.4","147","±233","100.0%","±79.6"
"    High school graduate (includes equivalency)","179","±82","0","±13","0.0%","±59.2","0","±188","-","**","208","±109","6","±11","19.4%","±35.2","29","±64","100.0%","±100.0"
"    Some college or associate's degree","131","±77","16","±24","55.2%","±55.2","122","±177","100.0%","±79.6","65","±71","0","±13","0.0%","±57.2","0","±395","-","**"
"    Bachelor's degree","9","±15","0","±13","0.0%","±59.2","0","±1,000","-","**","665","±215","9","±16","29.0%","±43.7","14","±24","0.0%","±100.0"
"    Graduate or professional degree","52","±48","13","±19","44.8%","±55.2","250","±369","0.0%","±88.4","314","±129","0","±13","0.0%","±57.2","0","±112","-","**"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years for whom poverty status is determined","480","±114","29","±30","(X)","(X)","60","±67","55.2%","±55.2","1,361","±227","31","±32","(X)","(X)","23","±25","71.0%","±43.7"
"    Below 100 percent of poverty level","194","±77","16","±24","55.2%","±55.2","82","±121","100.0%","±79.6","174","±121","6","±11","19.4%","±35.2","34","±77","100.0%","±100.0"
"    100 to 199 percent of poverty level","159","±103","0","±13","0.0%","±59.2","0","±208","-","**","59","±43","16","±24","51.6%","±47.4","271","±359","100.0%","±79.6"
"    200 percent or more above poverty level","127","±70","13","±19","44.8%","±55.2","102","±151","0.0%","±88.4","1,128","±234","9","±16","29.0%","±43.7","8","±14","0.0%","±100.0"
"LABOR FORCE STATUS","","","","","","","","","","","","","","","","","","","",""
"    Women 16 to 50 years","449","±97","29","±30","(X)","(X)","65","±70","55.2%","±55.2","1,341","±213","31","±32","(X)","(X)","23","±25","71.0%","±43.7"
"    In labor force","292","±103","13","±19","44.8%","±55.2","45","±66","0.0%","±88.4","1,244","±218","9","±16","29.0%","±43.7","7","±13","0.0%","±100.0"
"PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Women 15 to 50 years","480","±114","29","±30","(X)","(X)","60","±67","55.2%","±55.2","1,361","±227","31","±32","(X)","(X)","23","±25","71.0%","±43.7"
"    Received public assistance income","133","±68","16","±24","55.2%","±55.2","120","±174","100.0%","±79.6","32","±40","0","±13","0.0%","±57.2","0","±563","-","**"
"    Did not receive public assistance income","347","±119","13","±19","44.8%","±55.2","37","±55","0.0%","±88.4","1,329","±214","31","±32","100.0%","±57.2","23","±25","71.0%","±43.7"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Marital status","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","2.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Fertility","4.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","4.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
