"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","",""
"All households","986","±92","31,835","±6,613","2,274","±100","85,047","±9,422"
"    With earnings","62.9%","±9.9","40,108","±8,041","79.5%","±6.3","95,244","±11,191"
"    With interest, dividends, or net rental income","6.1%","±4.0","−437","±2,130","25.8%","±7.1","4,404","±2,965"
"    With Social Security income","20.2%","±6.7","9,381","±2,400","14.7%","±4.3","11,822","±3,461"
"    With Supplemental Security Income (SSI)","24.0%","±7.2","10,300","±1,572","5.1%","±3.0","7,374","±1,693"
"    With cash public assistance income","16.9%","±7.1","4,538","±1,306","1.9%","±1.9","10,889","±8,581"
"    With retirement income","5.8%","±3.3","20,504","±16,222","15.3%","±4.4","34,277","±12,546"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","",""
"    All families","498","±80","30,696","±7,939","626","±175","122,469","±19,540"
"        No workers","29.3%","±12.1","12,374","±3,673","10.9%","±7.1","N","N"
"        1 worker","44.2%","±13.7","21,838","±6,247","21.4%","±11.2","N","N"
"        2 workers, husband and wife worked","8.6%","±7.1","103,484","±40,386","58.0%","±13.9","N","N"
"        2 workers, other","17.9%","±11.6","47,483","±24,666","2.4%","±3.9","N","N"
"        3 or more workers, husband and wife worked","0.0%","±6.8","-","**","1.1%","±2.2","N","N"
"        3 or more workers, other","0.0%","±6.8","-","**","6.2%","±7.2","N","N"
"PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    Total population","2,165","±252","14,945","±3,547","3,660","±401","54,742","±5,451"
"        One race--","","","","","","","",""
"            White","3.8%","±2.9","73,824","±11,479","47.8%","±8.7","64,670","±7,928"
"            Black or African American","89.1%","±8.1","12,481","±3,290","38.4%","±8.9","34,757","±8,480"
"            American Indian and Alaska Native","0.6%","±0.9","-","**","0.8%","±1.0","N","N"
"            Asian","6.6%","±7.1","15,250","±8,092","8.5%","±4.0","87,635","±33,075"
"            Native Hawaiian and Other Pacific Islander","0.0%","±1.6","-","**","0.0%","±1.0","-","**"
"            Some other race","0.0%","±1.6","-","**","1.4%","±1.6","40,020","±20,659"
"        Two or more races","0.0%","±1.6","-","**","3.2%","±2.3","56,928","±22,456"
"Hispanic or Latino origin (of any race)","0.5%","±0.8","N","N","6.6%","±3.4","67,630","±30,200"
"White alone, not Hispanic or Latino","3.8%","±2.9","73,824","±11,479","44.8%","±7.9","64,871","±8,219"
"PERCENT IMPUTED","","","","","","","",""
"    Household income in the past 12 months","44.5%","(X)","(X)","(X)","23.0%","(X)","(X)","(X)"
"    Family income in the past 12 months","45.0%","(X)","(X)","(X)","26.0%","(X)","(X)","(X)"
"    Individual income in the past 12 months","34.3%","(X)","(X)","(X)","20.3%","(X)","(X)","(X)"
