Year,Label (Grouping),One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Tract
2021,Total Estimate,2428,526,1843,0,38,0,21,41,21.00,526,Tract 64
2021,Moved within same county,0.07,0.23,0.03,-,0,-,0,0,0.00,0.23,Tract 64
2021,Moved from different state ,0.08,0.33,0.01,-,0,-,0,0,0.00,0.33,Tract 64
2021,Moved from abroad,0.02,0,0.03,-,0,-,0,0,0.00,0,Tract 64
2021,Total Estimate,2202,1313,695,0,157,0,37,320,201.00,1175,Tract 102.01
2021,Moved within same county,0.11,0.12,0.11,-,0.1,-,0,0.07,0.10,0.12,Tract 102.01
2021,Moved from different state ,0.12,0.15,0.04,-,0.21,-,0,0.06,0.00,0.17,Tract 102.01
2021,Moved from abroad,0.01,0.02,0,-,0,-,0,0.05,0.14,0.01,Tract 102.01
2021,Total Estimate,1777,951,628,0,71,0,127,183,142.00,906,Tract 102.02
2021,Moved within same county,0.14,0.22,0.06,-,0,-,0,0,0.30,0.18,Tract 102.02
2021,Moved from different state ,0.12,0.11,0.12,-,0.49,-,0,0,0.00,0.12,Tract 102.02
2021,Moved from abroad,0.02,0.02,0,-,0.13,-,0,0,0.02,0.02,Tract 102.02
2021,Total Estimate,3683,2034,1460,0,137,14,38,314,360.00,1911,Tract 105
2021,Moved within same county,0.16,0.22,0.04,-,0.3,0,0.5,0.21,0.17,0.23,Tract 105
2021,Moved from different state ,0.07,0.04,0.1,-,0.1,0,0,0,0.00,0.05,Tract 105
2021,Moved from abroad,0.01,0.02,0,-,0,0,0,0,0.00,0.02,Tract 105
2021,Total Estimate,2237,1420,791,0,26,0,0,116,404.00,1016,Tract 110.01
2021,Moved within same county,0.06,0.05,0.09,-,0,-,-,0,0.00,0.07,Tract 110.01
2021,Moved from different state ,0.02,0.03,0,-,0,-,-,0,0.00,0.04,Tract 110.01
2021,Moved from abroad,0.01,0.02,0,-,0,-,-,0,0.00,0.02,Tract 110.01
2021,Total Estimate,1411,1078,240,0,68,0,25,108,75.00,1040,Tract 110.02
2021,Moved within same county,0.1,0.1,0.09,-,0,-,0.56,0,0.19,0.11,Tract 110.02
2021,Moved from different state ,0.06,0.07,0.01,-,0,-,0.44,0,0.19,0.07,Tract 110.02
2021,Moved from abroad,0,0,0,-,0,-,0,0,0.04,0,Tract 110.02
2020,Total Estimate,2531,473,2004,0,44,0,10,50,37.00,446,Tract 64
2020,Moved within same county,0.06,0.19,0.03,-,0,-,0,0,0.00,0.2,Tract 64
2020,Moved from different state ,0.08,0.37,0.01,-,0,-,0,0,0.49,0.36,Tract 64
2020,Moved from abroad,0.01,0.02,0.01,-,0,-,0,0,0.00,0.02,Tract 64
2020,Total Estimate,2053,1352,463,21,179,0,38,244,319.00,1233,Tract 102.01
2020,Moved within same county,0.12,0.13,0.07,0,0.21,-,0,0.12,0.06,0.13,Tract 102.01
2020,Moved from different state ,0.11,0.13,0.05,0,0.14,-,0,0.08,0.00,0.14,Tract 102.01
2020,Moved from abroad,0.01,0.02,0,0,0,-,0,0.07,0.09,0.01,Tract 102.01
2020,Total Estimate,1670,1024,523,42,68,0,13,37,101.00,936,Tract 102.02
2020,Moved within same county,0.09,0.13,0.02,0,0,-,0,0,0.42,0.1,Tract 102.02
2020,Moved from different state ,0.09,0.09,0.06,0,0.43,-,0,0,0.00,0.1,Tract 102.02
2020,Moved from abroad,0.02,0.02,0,0,0.12,-,0,0,0.08,0.01,Tract 102.02
2020,Total Estimate,3612,2239,1164,0,139,8,62,256,342.00,2099,Tract 105
2020,Moved within same county,0.11,0.17,0.02,-,0.07,0,0,0.13,0.05,0.18,Tract 105
2020,Moved from different state ,0.07,0.05,0.1,-,0.09,0,0,0,0.00,0.05,Tract 105
2020,Moved from abroad,0.02,0.03,0,-,0,0,0,0,0.00,0.03,Tract 105
2020,Total Estimate,2238,1445,764,0,29,0,0,107,348.00,1097,Tract 110.01
2020,Moved within same county,0.06,0.02,0.11,-,0.41,-,-,0,0.00,0.03,Tract 110.01
