"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Households not receiving food stamps/SNAP!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent households not receiving food stamps/SNAP!!Estimate"
"Households","1,042","(X)","493","47.3%","549","52.7%","2,249","(X)","188","8.4%","2,061","91.6%"
"With one or more people in the household 60 years and over","350","33.6%","180","36.5%","170","31.0%","498","22.1%","22","11.7%","476","23.1%"
"No people in the household 60 years and over","692","66.4%","313","63.5%","379","69.0%","1,751","77.9%","166","88.3%","1,585","76.9%"
"HOUSEHOLD TYPE","","","","","","","","","","","",""
"    Married-couple family","123","11.8%","6","1.2%","117","21.3%","449","20.0%","13","6.9%","436","21.2%"
"    Other family:","404","38.8%","281","57.0%","123","22.4%","120","5.3%","38","20.2%","82","4.0%"
"        Male householder, no wife present","34","3.3%","27","5.5%","7","1.3%","4","0.2%","4","2.1%","0","0.0%"
"        Female householder, no husband present","370","35.5%","254","51.5%","116","21.1%","116","5.2%","34","18.1%","82","4.0%"
"    Nonfamily households","515","49.4%","206","41.8%","309","56.3%","1,680","74.7%","137","72.9%","1,543","74.9%"
"    With children under 18 years","202","19.4%","149","30.2%","53","9.7%","97","4.3%","34","18.1%","63","3.1%"
"        Married-couple family","18","1.7%","6","1.2%","12","2.2%","66","2.9%","3","1.6%","63","3.1%"
"        Other family:","184","17.7%","143","29.0%","41","7.5%","31","1.4%","31","16.5%","0","0.0%"
