"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Female!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Male!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Male!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Female!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Female!!Margin of Error"
"Population 18 to 24 years","133","±78","67","±57","66","±52","238","±103","26","±41","212","±97","348","±149","195","±135","153","±77","483","±516","391","±493","92","±123"
"Less than high school graduate","13.5%","±23.0","26.9%","±44.3","0.0%","±40.5","0.0%","±15.4","0.0%","±64.5","0.0%","±17.1","4.0%","±5.6","2.1%","±5.5","6.5%","±11.6","15.1%","±9.3","13.8%","±12.3","20.7%","±54.2"
"High school graduate (includes equivalency)","73.7%","±29.8","73.1%","±44.3","74.2%","±40.2","5.5%","±8.9","0.0%","±64.5","6.1%","±10.1","11.2%","±13.7","14.9%","±23.5","6.5%","±11.5","50.3%","±26.2","62.1%","±15.5","0.0%","±33.6"
"Some college or associate's degree","0.0%","±25.5","0.0%","±40.2","0.0%","±40.5","0.0%","±15.4","0.0%","±64.5","0.0%","±17.1","11.8%","±18.1","21.0%","±32.2","0.0%","±22.7","30.4%","±21.7","18.9%","±9.1","79.3%","±54.2"
"Bachelor's degree or higher","12.8%","±20.5","0.0%","±40.2","25.8%","±40.2","94.5%","±8.9","100.0%","±64.5","93.9%","±10.1","73.0%","±22.2","62.1%","±36.9","86.9%","±15.5","4.1%","±11.3","5.1%","±17.0","0.0%","±33.6"
"Population 25 years and over","1,355","±212","518","±164","837","±156","2,226","±273","891","±147","1,335","±193","3,453","±351","1,873","±306","1,580","±193","3,540","±352","1,403","±278","2,137","±277"
"Less than 9th grade","6.3%","±4.4","3.5%","±3.9","8.1%","±6.5","0.0%","±1.8","0.0%","±4.4","0.0%","±2.9","3.6%","±2.1","1.9%","±2.3","5.7%","±3.5","3.9%","±3.6","0.2%","±0.8","6.4%","±6.2"
"9th to 12th grade, no diploma","20.9%","±7.4","12.2%","±11.7","26.3%","±8.6","0.0%","±1.8","0.0%","±4.4","0.0%","±2.9","5.6%","±3.2","4.9%","±3.0","6.5%","±4.9","2.4%","±1.9","1.7%","±2.7","2.9%","±2.4"
"High school graduate (includes equivalency)","35.4%","±10.7","31.3%","±20.8","38.0%","±11.9","5.9%","±3.4","4.4%","±4.2","7.0%","±4.4","19.2%","±7.4","21.7%","±11.6","16.2%","±7.2","11.4%","±6.6","11.8%","±9.0","11.1%","±9.1"
"Some college, no degree","10.0%","±5.4","9.1%","±8.4","10.6%","±6.5","16.0%","±4.9","9.2%","±5.9","20.5%","±6.5","10.5%","±4.5","8.7%","±5.8","12.7%","±7.4","18.9%","±6.9","25.4%","±11.2","14.6%","±7.2"
