"Label (Grouping)","Census Tract 64, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 64, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 102, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 105, District of Columbia, District of Columbia!!Percent Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Total!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Total!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Males!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Females!!Margin of Error","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Estimate","Census Tract 110, District of Columbia, District of Columbia!!Percent Females!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population 18 to 24 years","316","±140","(X)","(X)","165","±88","(X)","(X)","151","±92","(X)","(X)","134","±95","(X)","(X)","65","±59","(X)","(X)","69","±69","(X)","(X)","284","±154","(X)","(X)","167","±129","(X)","(X)","117","±83","(X)","(X)","277","±130","(X)","(X)","116","±64","(X)","(X)","161","±102","(X)","(X)"
"    Less than high school graduate","126","±69","39.9%","±14.2","94","±69","57.0%","±20.5","32","±35","21.2%","±27.3","0","±12","0.0%","±21.3","0","±12","0.0%","±36.7","0","±12","0.0%","±35.4","26","±26","9.2%","±9.3","0","±12","0.0%","±17.6","26","±26","22.2%","±24.6","0","±12","0.0%","±11.1","0","±12","0.0%","±24.1","0","±12","0.0%","±18.2"
"    High school graduate (includes equivalency)","85","±80","26.9%","±17.3","25","±22","15.2%","±13.7","60","±80","39.7%","±39.0","0","±12","0.0%","±21.3","0","±12","0.0%","±36.7","0","±12","0.0%","±35.4","36","±41","12.7%","±15.2","15","±25","9.0%","±16.8","21","±33","17.9%","±28.4","61","±42","22.0%","±13.5","61","±42","52.6%","±21.4","0","±12","0.0%","±18.2"
"    Some college or associate's degree","92","±50","29.1%","±17.9","33","±31","20.0%","±15.9","59","±49","39.1%","±33.1","33","±40","24.6%","±26.8","33","±40","50.8%","±47.7","0","±12","0.0%","±35.4","33","±40","11.6%","±15.1","33","±40","19.8%","±27.4","0","±12","0.0%","±23.9","8","±14","2.9%","±5.8","8","±14","6.9%","±15.1","0","±12","0.0%","±18.2"
"    Bachelor's degree or higher","13","±18","4.1%","±6.0","13","±18","7.9%","±12.2","0","±12","0.0%","±19.2","101","±80","75.4%","±26.8","32","±43","49.2%","±47.7","69","±69","100.0%","±35.4","189","±148","66.5%","±26.0","119","±128","71.3%","±33.9","70","±72","59.8%","±35.4","208","±116","75.1%","±13.6","47","±43","40.5%","±22.5","161","±102","100.0%","±18.2"
"Population 25 years and over","1,592","±189","(X)","(X)","581","±123","(X)","(X)","1,011","±118","(X)","(X)","2,193","±241","(X)","(X)","981","±172","(X)","(X)","1,212","±137","(X)","(X)","2,905","±306","(X)","(X)","1,487","±245","(X)","(X)","1,418","±189","(X)","(X)","3,225","±374","(X)","(X)","1,529","±335","(X)","(X)","1,696","±228","(X)","(X)"
"    Less than 9th grade","82","±67","5.2%","±4.1","47","±36","8.1%","±6.3","35","±38","3.5%","±3.7","55","±57","2.5%","±2.5","11","±19","1.1%","±1.9","44","±49","3.6%","±3.9","60","±53","2.1%","±1.9","0","±12","0.0%","±2.2","60","±53","4.2%","±3.9","38","±41","1.2%","±1.3","0","±12","0.0%","±2.1","38","±41","2.2%","±2.4"
"    9th to 12th grade, no diploma","300","±78","18.8%","±5.0","99","±57","17.0%","±8.9","201","±58","19.9%","±5.6","41","±47","1.9%","±2.2","13","±17","1.3%","±1.8","28","±44","2.3%","±3.6","108","±66","3.7%","±2.2","22","±34","1.5%","±2.3","86","±56","6.1%","±4.0","0","±12","0.0%","±1.0","0","±12","0.0%","±2.1","0","±12","0.0%","±1.9"
"    High school graduate (includes equivalency)","444","±107","27.9%","±5.4","189","±85","32.5%","±11.6","255","±78","25.2%","±7.3","111","±74","5.1%","±3.5","56","±39","5.7%","±4.2","55","±40","4.5%","±3.3","182","±118","6.3%","±4.0","83","±85","5.6%","±5.5","99","±73","7.0%","±5.0","144","±100","4.5%","±3.2","17","±28","1.1%","±1.8","127","±96","7.5%","±5.6"
